 
****************************************
Report : area
Design : enigma_part2
Version: R-2020.09-SP5
Date   : Tue Oct 26 02:48:46 2021
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                          377
Number of nets:                         11467
Number of cells:                        10102
Number of combinational cells:           8673
Number of sequential cells:              1310
Number of macros/black boxes:               0
Number of buf/inv:                       1410
Number of references:                     160

Combinational area:              18090.224063
Buf/Inv area:                     1871.770559
Noncombinational area:            8482.310403
Macro/Black Box area:                0.000000
Net Interconnect area:            6991.812966

Total cell area:                 26572.534466
Total area:                      33564.347432

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ----------------------------- 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-  Black-
                                  Total       Total    national    national   boxes   Design
clk_gate_rotorA_table_reg_6_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_113
clk_gate_rotorA_table_reg_8_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_112
clk_gate_rotorB_table_reg_0_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_78
clk_gate_rotorB_table_reg_10_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_72
clk_gate_rotorB_table_reg_11_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_71
clk_gate_rotorB_table_reg_13_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_70
clk_gate_rotorB_table_reg_15_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_69
clk_gate_rotorB_table_reg_16_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_68
clk_gate_rotorB_table_reg_18_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_67
clk_gate_rotorB_table_reg_1_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_77
clk_gate_rotorB_table_reg_20_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_66
clk_gate_rotorB_table_reg_21_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_65
clk_gate_rotorB_table_reg_23_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_64
clk_gate_rotorB_table_reg_25_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_63
clk_gate_rotorB_table_reg_26_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_62
clk_gate_rotorB_table_reg_28_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_61
clk_gate_rotorB_table_reg_30_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_60
clk_gate_rotorB_table_reg_31_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_59
clk_gate_rotorB_table_reg_33_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_58
clk_gate_rotorB_table_reg_35_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_57
clk_gate_rotorB_table_reg_36_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_56
clk_gate_rotorB_table_reg_38_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_55
clk_gate_rotorB_table_reg_3_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_76
clk_gate_rotorB_table_reg_40_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_54
clk_gate_rotorB_table_reg_41_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_53
clk_gate_rotorB_table_reg_43_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_52
clk_gate_rotorB_table_reg_45_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_51
clk_gate_rotorB_table_reg_46_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_50
clk_gate_rotorB_table_reg_48_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_49
clk_gate_rotorB_table_reg_50_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_48
clk_gate_rotorB_table_reg_51_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_47
clk_gate_rotorB_table_reg_53_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_46
clk_gate_rotorB_table_reg_55_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_45
clk_gate_rotorB_table_reg_56_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_44
clk_gate_rotorB_table_reg_58_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_43
clk_gate_rotorB_table_reg_59_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_42
clk_gate_rotorB_table_reg_5_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_75
clk_gate_rotorB_table_reg_61_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_41
clk_gate_rotorB_table_reg_62_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_40
clk_gate_rotorB_table_reg_6_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_74
clk_gate_rotorB_table_reg_8_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_73
clk_gate_rotorC_table_reg_0_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_39
clk_gate_rotorC_table_reg_10_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_33
clk_gate_rotorC_table_reg_11_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_32
clk_gate_rotorC_table_reg_13_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_31
clk_gate_rotorC_table_reg_15_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_30
clk_gate_rotorC_table_reg_16_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_29
clk_gate_rotorC_table_reg_18_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_28
clk_gate_rotorC_table_reg_1_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_38
clk_gate_rotorC_table_reg_20_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_27
clk_gate_rotorC_table_reg_21_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_26
clk_gate_rotorC_table_reg_23_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_25
clk_gate_rotorC_table_reg_25_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_24
clk_gate_rotorC_table_reg_26_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_23
clk_gate_rotorC_table_reg_28_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_22
clk_gate_rotorC_table_reg_30_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_21
clk_gate_rotorC_table_reg_31_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_20
clk_gate_rotorC_table_reg_33_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_19
clk_gate_rotorC_table_reg_35_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_18
clk_gate_rotorC_table_reg_36_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_17
clk_gate_rotorC_table_reg_38_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_16
clk_gate_rotorC_table_reg_3_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_37
clk_gate_rotorC_table_reg_40_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_15
clk_gate_rotorC_table_reg_41_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_14
clk_gate_rotorC_table_reg_43_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_13
clk_gate_rotorC_table_reg_45_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_12
clk_gate_rotorC_table_reg_46_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_11
clk_gate_rotorC_table_reg_48_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_10
clk_gate_rotorC_table_reg_50_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_9
clk_gate_rotorC_table_reg_51_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_8
clk_gate_rotorC_table_reg_53_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_7
clk_gate_rotorC_table_reg_55_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_6
clk_gate_rotorC_table_reg_56_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_5
clk_gate_rotorC_table_reg_58_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_4
clk_gate_rotorC_table_reg_59_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_3
clk_gate_rotorC_table_reg_5_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_36
clk_gate_rotorC_table_reg_61_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_2
clk_gate_rotorC_table_reg_62_         8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_1
clk_gate_rotorC_table_reg_6_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_35
clk_gate_rotorC_table_reg_8_          8.6409      0.0      3.5580     5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_34
--------------------------------  ----------  -------  ----------  ---------  ------  ----------------------------------------------
Total                                                  18090.2241  8482.3104  0.0000

1
